|score
CreditCard_Balance_ARG_var|62.0
TotalOperations|61.0
CreditCard_Total_Limit|58.0
CreditCard_Total_Spending|50.0
SavingAccount_Total_Amount|48.0
Operations_Bank|44.0
Client_Age_grp|44.0
Operations_Terminal|42.0
CreditCard_Total_Spending_var|40.0
Operations_HomeBanking_var|40.0
CreditCard_Revolving_min|38.0
CreditCard_Total_Limit_var|38.0
CreditCard_Revolving|37.0
CreditCard_Spending_Aut_Debits_var|36.0
SavingAccount_Transactions_Transactions_var|35.0
SavingAccount_Total_Amount_var|34.0
CreditCard_Balance_ARG|33.0
CreditCard_Revolving_var|31.0
CreditCard_Spending_Aut_Debits|30.0
SavingAccount_Days_with_Credits_var|29.0
SavingAccount_Credits_Transactions_var|27.0
CreditCard_Balance_DOLLAR_sum|24.0
TotalInsurances|23.0
Operations_Telemarketer|21.0
Operations_Mobile_var|21.0
CreditCard_Active|20.0
SavingAccount_Transfer_In_Amount_var|19.0
SavingAccount_DebitCard_Spend_Transactions|19.0
SavingAccount_DebitCard_Spend_Amount_var|17.0
SavingAccount_Salary_Payment_Amount_var|17.0
CreditCard_Spending_1_Installment_min|17.0
SavingAccount_Days_with_Debits_var|17.0
Operations_ATM|16.0
SavingAccount_Active_ARG_Salary|15.0
SavingAccount_Transfer_Out_Amount_sum|15.0
SavingAccount_Salary_Payment_Transactions|15.0
CreditCard_Spending_Aut_Debits_nunique|15.0
Operations_HomeBanking_x|15.0
DebitCard_Active|14.0
Loan_Active|14.0
SavingAccount_Days_with_Debits_nunique|13.0
SavingAccount_CreditCard_Payment_Amount|12.0
Operations_Ivr|11.0
CreditCard_Spending_1_Installment_nunique|10.0
Region_REGION CUYO|10.0
CreditCard_Spending_Aut_Debits_count_nonzero|10.0
Mobile|10.0
SavingAccount_Days_with_Credits_count_nonzero|10.0
Region_BUENOS AIRES|9.0
Region_REGION CENTRO|9.0
